device,故障小时,故障星期,故障月份,故障季度,是否周末,是否工作日高峰,维修时长_小时,响应时间_小时,维修类型,历史次数,上次间隔_小时,平均间隔_小时,间隔标准差_小时,近期趋势_比值,最近3次平均_小时,最近3次趋势,运行天数,故障频率_次每天,故障加速比,平均维修时长_小时,响应时间趋势,车站编码,品牌编码,线路编码,故障间隔_小时
1000029976,11,6,7,3,1,0,0.45,0.6655555555555556,1,2,23.799444444444443,927.2408333333333,903.4413888888889,0.025666950363511572,927.2408333333333,1.0,191.11810185185186,0.01046473348479743,1.0,0.53,0.5391666666666667,228,1,2,2732.3527777777776
1000029996,14,2,6,2,0,0,0.42,0.9041666666666667,1,1,429.93055555555554,429.93055555555554,0.0,0.9999999999767404,429.93055555555554,1.0,191.1532986111111,0.005231403314856913,1.0,0.08,0.6347222222222222,234,1,2,4157.748611111111
1000029996,16,3,11,4,0,0,0.5,0.7786111111111111,0,2,4157.748611111111,2293.8395833333334,1863.9090277777777,1.8125716555344642,2293.8395833333334,1.0,346.22172453703706,0.005776645017508282,1.0,0.25,0.19180555555555556,234,1,2,3721.6422222222222
1000030152,10,0,11,4,0,0,1.0,0.06861111111111111,0,1,5597.538888888889,5597.538888888889,0.0,0.9999999999982135,5597.538888888889,1.0,242.3442824074074,0.004126361018573114,1.0,0.12,-0.9405555555555557,274,1,2,218.7238888888889
1000030249,19,4,3,1,0,1,0.58,0.38333333333333336,0,1,1565.6333333333334,1565.6333333333334,0.0,0.9999999999936129,1565.6333333333334,1.0,73.42222222222222,0.013619854721549638,1.0,0.27,0.2666666666666667,42,3,2,196.5
1000030249,12,4,8,3,0,0,0.3,25.9475,0,2,196.5,881.0666666666667,684.5666666666667,0.22302512106284397,881.0666666666667,1.0,227.13274305555555,0.00880542352940637,1.0,0.425,25.6975,42,3,2,3689.0525
1000030341,15,2,6,2,0,0,0.4,0.13333333333333333,1,1,2921.5872222222224,2921.5872222222224,0.0,0.9999999999965773,2921.5872222222224,1.0,203.775,0.00490737332842596,1.0,0.47,-0.0627777777777778,192,1,2,1969.0127777777777
1000030341,9,6,8,3,1,0,0.42,0.08333333333333333,0,2,1969.0127777777777,2445.3,476.28722222222234,0.8052233990797553,2445.3,1.0,284.52430555555554,0.007029276448262817,1.0,0.435,-0.08138888888888889,192,1,2,1937.9833333333333
1000030341,11,6,8,3,1,0,2.5,0.9,1,3,1937.9833333333333,2276.194444444445,456.5373915401453,0.8514137876291261,2276.194444444445,1.0,291.5909722222222,0.010288384366418905,1.0,0.43,0.7624074074074074,192,1,2,169.6
1000030504,15,5,6,2,1,0,0.63,0.4166666666666667,0,1,3200.660277777778,3200.660277777778,0.0,0.9999999999968757,3200.660277777778,1.0,189.3157060185185,0.005282181922624961,1.0,0.05,0.21666666666666667,38,1,2,1342.9166666666667
1000030504,10,0,8,3,0,0,0.02,0.21666666666666667,0,2,1342.9166666666667,2271.7884722222225,928.8718055555556,0.5911275116856011,2271.7884722222225,1.0,247.13792824074073,0.008092646945117101,1.0,0.34,-0.09166666666666667,38,1,2,1387.7333333333333
1000030504,18,2,8,3,0,1,0.02,0.4166666666666667,0,3,1387.7333333333333,1977.103425925926,865.3787843821104,0.7019022450362731,1977.103425925926,1.0,256.4372337962963,0.011698769151374806,1.0,0.23333333333333336,0.1388888888888889,38,1,2,223.18333333333334
1000030504,17,1,8,3,0,1,0.03,0.15,0,4,223.18333333333334,1538.623402777778,1066.983843572149,0.14505390528244616,984.6111111111112,1.0,262.4025115740741,0.015243756532684073,1.0,0.18000000000000002,-0.1625,38,1,2,143.16666666666666
1000030504,8,6,8,3,1,0,0.03,0.11666666666666667,0,5,143.16666666666666,1259.5320555555559,1105.5910357507685,0.11366655261694145,584.6944444444445,1.0,274.04140046296294,0.0182454183621637,1.0,0.15000000000000002,-0.1633333333333333,38,1,2,279.3333333333333
1000030504,10,2,9,3,0,0,0.85,0.05277777777777778,0,6,279.3333333333333,1096.165601851852,1073.3371354125736,0.25482767645589494,215.2277777777778,0.10886015114555413,277.13920138888886,0.02164977011527375,1.0,0.13000000000000003,-0.19999999999999998,38,1,2,74.34722222222223
1000030544,8,1,2,1,0,1,0.17,0.25,0,1,1498.0,1498.0,0.0,0.9999999999933245,1498.0,1.0,83.88194444444444,0.011921516681844524,1.0,0.42,0.16666666666666669,37,1,2,515.1666666666666
1000030544,7,0,3,1,0,1,0.07,0.45,0,2,515.1666666666666,1006.5833333333333,491.4166666666667,0.5117973342113241,1006.5833333333333,1.0,110.84930555555556,0.018042512670479818,1.0,0.295,0.2833333333333333,37,1,2,647.2166666666667
1000030544,11,4,4,2,0,0,0.47,0.19083333333333333,0,3,647.2166666666667,886.7944444444444,435.53681358486136,0.7298384317967104,886.7944444444444,1.0,143.00038194444446,0.02097896494546076,1.0,0.21999999999999997,-0.0702777777777778,37,1,2,771.6258333333334
1000030544,15,6,6,2,1,0,0.17,16.866666666666667,0,4,771.6258333333334,858.0022916666667,380.46839707849244,0.8993284060179599,644.6697222222223,1.0,215.2,0.01858736059479554,1.0,0.2825,16.623125,37,1,2,1732.7908333333332
1000030544,14,3,7,3,0,0,0.17,0.08333333333333333,0,5,1732.7908333333332,1032.96,488.1042509150979,1.6775004194901626,1050.5444444444445,1.0,219.14930555555554,0.022815495524043414,1.0,0.25999999999999995,-3.484833333333333,37,1,2,94.78333333333333
1000030544,7,5,7,3,1,0,0.17,0.11666666666666667,0,6,94.78333333333333,876.5972222222223,566.3786052689528,0.10812643586979559,866.4,0.977002061095465,220.87083333333334,0.02716519836254221,1.0,0.24499999999999997,-2.870694444444444,37,1,2,41.31666666666667
1000030544,7,5,8,3,1,0,0.17,0.16666666666666666,0,7,41.31666666666667,757.2714285714286,600.3250831620768,0.054559917497565974,622.963611111111,0.7260628755358516,262.8333333333333,0.026632847178186432,1.0,0.23428571428571424,-2.410595238095238,37,1,2,1007.1
1000030544,11,1,9,3,0,0,0.15,0.16666666666666666,0,8,1007.1,788.5,567.5984456494273,1.2772352568005423,381.06666666666666,0.36890747624591236,287.0138888888889,0.027873215581901763,1.0,0.22625,-2.1092708333333334,37,1,2,580.3333333333334
