设备编号,维修时长_小时,维修响应_小时,累计故障次数,设备总故障次数,设备故障频率_次每天,最近3次平均间隔,上次故障间隔_小时,上次维修时长_小时,设备平均故障间隔,设备平均维修时长,故障小时,故障星期,是否周末,故障间隔_小时
1000001423,0.22,0.0,295,16,0.04299228545981873,461.63888888888886,1250.8452777777777,0.83,559.6803125,0.455625,14,5,1,70.10472222222222
1000001423,0.67,0.0,295,16,0.04299228545981873,488.9444444444445,70.10472222222222,0.22,559.6803125,0.455625,16,4,0,145.88333333333333
1000001423,0.35,0.06666666666666667,295,16,0.04299228545981873,785.6071296296299,145.88333333333333,0.67,559.6803125,0.455625,21,2,0,2140.8333333333335
1000001423,0.27,0.2833333333333333,295,16,0.04299228545981873,958.7555555555555,2140.8333333333335,0.35,559.6803125,0.455625,10,6,1,589.55
1000001423,0.17,0.03333333333333333,295,16,0.04299228545981873,967.5833333333334,589.55,0.27,559.6803125,0.455625,15,6,1,172.36666666666667
1000001423,0.5,0.38333333333333336,295,16,0.04299228545981873,526.9833333333332,172.36666666666667,0.17,559.6803125,0.455625,18,5,1,819.0333333333333
1000001423,0.23,0.03333333333333333,295,16,0.04299228545981873,577.3888888888888,819.0333333333333,0.5,559.6803125,0.455625,15,1,0,740.7666666666667
1000001423,0.08,1.6333333333333333,295,16,0.04299228545981873,1070.5777777777778,740.7666666666667,0.23,559.6803125,0.455625,10,0,0,1651.9333333333334
1000001423,0.75,0.0,295,16,0.04299228545981873,828.7388888888889,1651.9333333333334,0.08,559.6803125,0.455625,8,4,0,93.51666666666667
1000001423,0.17,0.02277777777777778,295,16,0.04299228545981873,689.2368518518518,93.51666666666667,0.75,559.6803125,0.455625,18,3,0,322.2605555555556
1000001423,0.08,0.0,295,16,0.04299228545981873,266.81166666666667,322.2605555555556,0.17,559.6803125,0.455625,19,5,1,384.65777777777777
1000001424,0.2,0.0,234,12,0.04213534516601765,481.05,407.2986111111111,0.23,609.6805555555555,0.32166666666666666,21,3,0,481.05
1000001424,1.5,2.75,234,12,0.04213534516601765,706.125,481.05,0.2,609.6805555555555,0.32166666666666666,16,0,0,931.2
1000001424,0.17,0.0,234,12,0.04213534516601765,494.8611111111111,931.2,1.5,609.6805555555555,0.32166666666666666,17,3,0,72.33333333333333
1000001424,0.33,0.2833333333333333,234,12,0.04213534516601765,542.8333333333334,72.33333333333333,0.17,609.6805555555555,0.32166666666666666,18,1,0,624.9666666666667
1000001424,0.13,0.08333333333333333,234,12,0.04213534516601765,791.7555555555555,624.9666666666667,0.33,609.6805555555555,0.32166666666666666,16,1,0,1677.9666666666667
1000001424,0.25,0.0175,234,12,0.04213534516601765,796.8830555555555,1677.9666666666667,0.13,609.6805555555555,0.32166666666666666,7,5,1,87.71583333333334
1000001424,0.33,0.03333333333333333,234,12,0.04213534516601765,1174.861111111111,87.71583333333334,0.25,609.6805555555555,0.32166666666666666,14,1,0,1758.9008333333334
